timestamp,ACB.h,ACB.k,CEU.h,CEU.k,MXL.h,MXL.k,overlap,unique
2/9/2024,797.6800872,563.7450411,992.2767523,235.90185,548.6775413,-374.8841146,36,39
2/9/2024,-453.8270224,-1005.223345,-502.8674091,-1002.726194,-509.1334093,-964.2503625,70,28
2/9/2024,-995.3540182,-769.0086401,-1596.256143,-1044.248711,-1045.829898,-1461.817415,37,37
2/9/2024,1201.503102,-287.7068624,-13.02809388,-1019.251177,160.1858347,-1051.42409,25,50
2/9/2024,-102.2338987,-965.6011577,-1024.719342,757.2158235,874.2394796,768.9502628,3,80
2/9/2024,-269.0458071,-216.9600466,-189.5943557,828.3832097,-785.7266502,478.947362,29,47
2/9/2024,1763.124555,-94.33138026,-257.0049948,664.5424597,836.1482216,1089.822117,7,69
2/9/2024,-401.7935471,1331.661495,198.8086863,-1271.76971,577.0706242,-134.7334717,2,71
2/9/2024,45.5604939,462.5535531,351.2520359,-20.03790193,85.07542206,-22.78274441,53,33
2/9/2024,-887.1180502,-480.3149059,-856.6101649,-969.7042933,-573.6133117,-909.2608939,53,32
2/9/2024,-43.36896013,428.6822818,654.949158,-16.1512743,425.7062935,-50.17936724,45,40
2/9/2024,1243.011543,-506.2151852,27.40768932,-468.0650608,540.2060194,-473.6984296,32,46
2/9/2024,1028.31468,924.2051827,1216.932126,-1333.495699,-146.7908369,-1254.503767,2,81
2/9/2024,372.6820717,1208.616069,1111.270985,-1194.111816,-755.3882781,-1097.151018,0,90
2/9/2024,147.2612287,757.61846,-261.6552565,182.9909891,880.7422384,-745.0382638,13,56
2/9/2024,522.7521247,739.7294236,-1085.286466,703.8668095,144.5727434,958.5894389,19,50
2/9/2024,-595.7533134,-242.0836439,102.7334309,817.985704,815.2642196,-153.5810916,14,61
2/9/2024,790.4830274,-123.2126065,252.4751172,-543.8466738,-551.6709991,945.4958839,11,56
2/9/2024,740.8018149,428.493588,161.5341225,706.0030463,293.9508735,32.08909214,39,35
2/9/2024,433.9293274,-573.6226524,879.3290186,-525.5528381,764.3179168,-806.7390287,56,28
2/9/2024,230.2332845,435.0174494,221.6869205,554.0926212,250.2553186,377.8183036,65,23
2/9/2024,575.8868139,-1054.880774,1082.042535,1108.140167,146.6092906,1158.86954,4,73
2/9/2024,-483.5238309,-395.0289015,-485.1935426,-22.87239872,-470.4198755,154.9710523,58,33
2/9/2024,-820.6092288,-76.1805723,-922.8183602,-96.09077164,-835.4518431,-196.9051021,67,24
2/9/2024,2986.330613,-1381.241818,-326.7344515,1433.228382,-2808.551393,-987.727565,0,100
2/9/2024,-22.75053679,-575.7853294,770.5976491,213.5508862,-1026.503477,251.0705057,9,57
2/9/2024,-98.73201366,-1188.921957,-1369.067203,172.1700116,692.546504,-676.3618571,3,62
2/9/2024,1036.716338,229.5416958,944.846933,-208.5473762,830.2611787,-376.824485,54,35
2/9/2024,611.8397084,-867.2195348,59.98681021,492.6403344,-1638.698683,-45.42417668,3,76
